Range_index_row	Range_index_col	Domain_index_row	Domain_index_col	contrast	brightness	best_rms	isEdge
0	0	140	127	0.0	254.27272727272728	254.27335879367985	False
0	4	140	61	0.0	254.33333333333334	1.6328497305820198	False
0	8	0	0	0.0	254.0	254.0	False
0	12	0	0	0.0	254.0	254.0	False
0	16	0	0	0.0	255.0	0.0	False
0	20	0	0	0.0	255.0	255.0	False
0	24	140	127	0.0	254.36363636363637	254.36498114493088	False
0	28	48	115	0.0	254.5	1.7319556131515434	False
0	32	0	0	0.0	255.0	255.0	False
0	36	0	0	0.0	255.0	255.0	False
0	40	0	0	0.0	254.0	0.0	False
0	44	0	0	0.0	254.0	254.0	False
0	48	140	127	0.0	254.27272727272728	254.27335879367985	False
0	52	140	61	0.0	254.33333333333334	1.6328497305820198	False
0	56	0	0	0.0	254.0	254.0	False
0	60	0	0	0.0	254.0	254.0	False
0	64	0	0	0.0	254.0	0.0	False
0	68	0	0	0.0	254.0	254.0	False
0	72	0	0	0.0	255.0	255.0	False
0	76	0	0	0.0	255.0	0.0	False
0	80	0	0	0.0	255.0	255.0	False
0	84	0	0	0.0	255.0	255.0	False
0	88	140	61	0.0	254.33333333333334	1.6328497305820198	False
0	92	140	61	0.0	254.36363636363637	254.36267269158128	False
0	96	0	0	0.0	255.0	255.0	False
0	100	0	0	0.0	255.0	0.0	False
0	104	140	61	0.0	254.36363636363637	254.36267269158128	False
0	108	140	127	0.0	254.27272727272728	254.27335879367985	False
0	112	0	0	0.0	255.0	0.0	False
0	116	0	0	0.0	255.0	255.0	False
0	120	0	0	0.0	254.0	254.0	False
0	124	48	115	0.0	253.58333333333334	1.7076882994645346	False
0	128	0	0	0.0	254.0	254.0	False
0	132	0	0	0.0	254.0	254.0	False
0	136	0	0	0.0	255.0	0.0	False
0	140	0	0	0.0	255.0	255.0	False
0	144	140	127	0.0	254.27272727272728	254.27335879367985	False
0	148	140	61	0.0	254.33333333333334	1.6328497305820198	False
0	152	0	0	0.0	255.0	255.0	False
0	156	0	0	0.0	255.0	255.0	False
0	160	39	65	0.0	254.08333333333334	0.9572926056160199	False
0	164	41	65	0.0	254.0909090909091	254.0884876648915	False
0	168	0	0	0.0	255.0	255.0	False
0	172	0	0	0.0	255.0	0.0	False
0	176	0	0	0.0	255.0	255.0	False
0	180	0	0	0.0	255.0	255.0	False
0	184	39	65	0.0	254.08333333333334	0.9572926056160199	False
0	188	41	65	0.0	254.0909090909091	254.0884876648915	False
0	192	0	0	0.0	255.0	255.0	False
0	196	0	0	0.0	255.0	0.0	False
4	0	140	61	0.0	254.27272727272728	254.27132665527682	False
4	4	140	63	0.0	254.0909090909091	254.09058566814767	False
4	8	0	0	0.0	254.0	0.0	False
4	12	0	0	0.0	254.0	254.0	False
4	16	0	0	0.0	255.0	255.0	False
4	20	0	0	0.0	255.0	0.0	False
4	24	140	61	0.0	254.36363636363637	254.36267269158128	False
4	28	140	127	0.0	254.27272727272728	254.27335879367985	False
4	32	0	0	0.0	255.0	0.0	False
4	36	0	0	0.0	255.0	255.0	False
4	40	0	0	0.0	254.0	254.0	False
4	44	0	0	0.0	254.0	0.0	False
4	48	41	65	0.0	254.36363636363637	254.36459583531237	False
4	52	48	111	0.0	254.45454545454547	254.45454894595775	False
4	56	0	0	0.0	254.0	0.0	False
4	60	0	0	0.0	254.0	254.0	False
4	64	0	0	0.0	254.0	254.0	False
4	68	0	0	0.0	254.0	0.0	False
4	72	7	64	0.0	254.72727272727272	254.72899204901316	False
4	76	0	0	0.0	255.0	255.0	False
4	80	0	0	0.0	255.0	0.0	False
4	84	0	0	0.0	255.0	255.0	False
4	88	0	0	0.0	255.0	255.0	False
4	92	0	0	0.0	255.0	0.0	False
4	96	0	0	0.0	255.0	255.0	False
4	100	0	0	0.0	255.0	255.0	False
4	104	0	0	0.0	255.0	0.0	False
4	108	0	0	0.0	255.0	255.0	False
4	112	0	0	0.0	255.0	255.0	False
4	116	0	0	0.0	255.0	0.0	False
4	120	0	0	0.0	254.0	254.0	False
4	124	0	0	0.0	254.0	254.0	False
4	128	0	0	0.0	254.0	0.0	False
4	132	0	0	0.0	254.0	254.0	False
4	136	0	0	0.0	255.0	255.0	False
4	140	0	0	0.0	255.0	0.0	False
4	144	0	0	0.0	255.0	255.0	False
4	148	0	0	0.0	255.0	255.0	False
4	152	0	0	0.0	255.0	0.0	False
4	156	0	0	0.0	255.0	255.0	False
4	160	48	111	0.0	254.54545454545453	254.54645009928038	False
4	164	43	65	0.0	254.5	1.732001927631522	False
4	168	0	0	0.0	255.0	255.0	False
4	172	0	0	0.0	255.0	255.0	False
4	176	0	0	0.0	255.0	0.0	False
4	180	0	0	0.0	255.0	255.0	False
4	184	48	111	0.0	254.54545454545453	254.54645009928038	False
4	188	43	65	0.0	254.5	1.732001927631522	False
4	192	0	0	0.0	255.0	255.0	False
4	196	0	0	0.0	255.0	255.0	False
8	0	162	89	0.0	253.83333333333334	1.9146389046554733	False
8	4	41	65	0.0	254.27272727272728	254.27230858210496	False
8	8	0	0	0.0	255.0	255.0	False
