Range_index_row	Range_index_col	Domain_index_row	Domain_index_col	contrast	brightness	best_rms	isEdge
0	0	0	0	0.0	79.0	79.0	False
0	4	0	0	0.0	79.0	0.0	False
0	8	0	0	0.0	79.0	79.0	False
0	12	0	0	0.0	79.0	79.0	False
0	16	0	0	0.0	79.0	0.0	False
0	20	0	0	0.0	79.0	79.0	False
0	24	0	0	0.0	79.0	79.0	False
0	28	0	0	0.0	79.0	0.0	False
0	32	142	149	0.0	79.45454545454545	79.29297191325294	False
0	36	142	149	0.0	82.0	81.70874408500994	False
0	40	0	0	0.0	82.0	0.0	False
0	44	0	0	0.0	82.0	82.0	False
0	48	0	0	0.0	83.0	83.0	False
0	52	0	0	0.0	83.0	0.0	False
0	56	69	45	0.0	82.27272727272727	82.18069357061026	False
0	60	70	46	0.0	82.0909090909091	82.04307982718214	False
0	64	0	0	0.0	84.0	0.0	False
0	68	0	0	0.0	84.0	84.0	False
0	72	135	151	0.0	83.9090909090909	83.47039737071549	False
0	76	142	149	0.0	79.91666666666667	8.836846233062063	False
0	80	0	0	0.0	79.0	79.0	False
0	84	0	0	0.0	79.0	79.0	False
0	88	0	0	0.0	79.0	0.0	False
0	92	0	0	0.0	79.0	79.0	False
0	96	43	158	0.0	77.54545454545455	77.4319990132923	False
0	100	71	55	0.0	78.58333333333333	1.5949649450465342	False
0	104	0	0	0.0	79.0	79.0	False
0	108	0	0	0.0	79.0	79.0	False
0	112	142	149	0.0	77.91666666666667	4.688125978106147	False
0	116	142	149	0.0	83.63636363636364	83.17091647448282	False
0	120	0	0	0.0	85.0	85.0	False
0	124	0	0	0.0	85.0	0.0	False
0	128	69	45	0.0	83.27272727272727	83.18055042362126	False
0	132	70	46	0.0	83.0909090909091	83.04301746882501	False
0	136	0	0	0.0	84.0	0.0	False
0	140	0	0	0.0	84.0	84.0	False
0	144	71	53	0.0	82.63636363636364	82.55332048679966	False
0	148	148	148	0.0	81.41666666666667	1.5599330035506156	False
0	152	0	0	0.0	83.0	83.0	False
0	156	0	0	0.0	83.0	83.0	False
0	160	0	0	0.0	82.0	0.0	False
0	164	0	0	0.0	82.0	82.0	False
0	168	80	54	0.0	81.63636363636364	81.47624983468644	False
0	172	135	151	0.0	78.83333333333333	2.053594213351449	False
0	176	0	0	0.0	79.0	79.0	False
0	180	0	0	0.0	79.0	79.0	False
0	184	0	0	0.0	79.0	0.0	False
0	188	0	0	0.0	79.0	79.0	False
0	192	0	0	0.0	79.0	79.0	False
0	196	0	0	0.0	79.0	0.0	False
4	0	0	0	0.0	79.0	79.0	False
4	4	0	0	0.0	79.0	79.0	False
4	8	0	0	0.0	79.0	0.0	False
4	12	0	0	0.0	79.0	79.0	False
4	16	0	0	0.0	79.0	79.0	False
4	20	0	0	0.0	79.0	0.0	False
4	24	0	0	0.0	79.0	79.0	False
4	28	0	0	0.0	79.0	79.0	False
4	32	142	149	0.0	79.33333333333333	1.421820290014238	False
4	36	142	149	0.0	82.18181818181819	81.88271735121857	False
4	40	0	0	0.0	82.0	82.0	False
4	44	0	0	0.0	82.0	0.0	False
4	48	0	0	0.0	83.0	83.0	False
4	52	0	0	0.0	83.0	83.0	False
4	56	70	46	0.0	83.5	1.589264454616886	False
4	60	70	45	0.0	83.63636363636364	83.52703074481528	False
4	64	0	0	0.0	84.0	84.0	False
4	68	0	0	0.0	84.0	0.0	False
4	72	142	149	0.0	85.72727272727273	85.35843624371482	False
4	76	77	56	0.0	81.18181818181819	81.04292988211077	False
4	80	0	0	0.0	79.0	0.0	False
4	84	0	0	0.0	79.0	79.0	False
4	88	0	0	0.0	79.0	79.0	False
4	92	0	0	0.0	79.0	0.0	False
4	96	46	169	0.0	75.63636363636364	75.52796693272869	False
4	100	83	38	0.0	77.0909090909091	76.98566303960334	False
4	104	0	0	0.0	79.0	0.0	False
4	108	0	0	0.0	79.0	79.0	False
4	112	135	151	0.0	79.54545454545455	79.15059244461636	False
4	116	142	149	0.0	85.0	3.883999352539095	False
4	120	0	0	0.0	85.0	85.0	False
4	124	0	0	0.0	85.0	85.0	False
4	128	70	46	0.0	84.5	1.589264454616886	False
4	132	70	45	0.0	84.63636363636364	84.52687266927732	False
4	136	0	0	0.0	84.0	84.0	False
4	140	0	0	0.0	84.0	0.0	False
4	144	71	55	0.0	84.18181818181819	84.0509741922779	False
4	148	71	53	0.0	82.63636363636364	82.55332048679966	False
4	152	0	0	0.0	83.0	0.0	False
4	156	0	0	0.0	83.0	83.0	False
4	160	0	0	0.0	82.0	82.0	False
4	164	0	0	0.0	82.0	0.0	False
4	168	59	127	0.0	79.81818181818181	79.66898707682914	False
4	172	81	54	0.0	77.36363636363636	77.22611870725281	False
4	176	0	0	0.0	79.0	0.0	False
4	180	0	0	0.0	79.0	79.0	False
4	184	0	0	0.0	79.0	79.0	False
4	188	0	0	0.0	79.0	0.0	False
4	192	0	0	0.0	79.0	79.0	False
4	196	0	0	0.0	79.0	79.0	False
8	0	0	0	0.0	79.0	0.0	False
8	4	0	0	0.0	79.0	79.0	False
8	8	0	0	0.0	79.0	79.0	False
8	12	0	0	0.0	79.0	0.0	False
8	16	0	0	0.0	79.0	79.0	False
8	20	0	0	0.0	79.0	79.0	False
8	24	0	0	0.0	79.0	0.0	False
8	28	0	0	0.0	79.0	79.0	False
8	32	142	149	0.0	77.63636363636364	77.47219408697548	False
8	36	142	149	0.0	79.25	1.3297724247999299	False
8	40	139	150	0.0	82.18181818181819	82.09931634272151	False
8	44	142	149	0.0	83.63636363636364	83.47132763514439	False
8	48	43	158	0.0	83.16666666666667	1.1977726831846442	False
8	52	69	45	0.0	83.27272727272727	83.18055042362126	False
8	56	135	151	0.0	83.45454545454545	83.33780308036484	False
8	60	135	151	0.0	84.83333333333333	1.6972524259133785	False
8	64	135	151	0.0	84.81818181818181	84.64389155615008	False
8	68	129	153	0.0	85.9090909090909	85.71310471819424	False
8	72	83	38	0.0	85.91666666666667	2.040095517754839	False
8	76	71	56	0.0	84.63636363636364	84.49863248943237	False
8	80	62	122	0.0	78.36363636363636	78.19544335842913	False
8	84	46	169	0.0	77.16666666666667	4.401934263045983	False
8	88	70	41	0.0	77.72727272727273	77.87982270055514	False
8	92	43	158	0.0	78.54545454545455	81.81301472107792	False
8	96	144	149	0.0	77.33333333333333	11.099852125505402	False
8	100	46	168	0.0	75.27272727272727	75.22238090579982	False
8	104	0	0	0.0	79.0	79.0	False
8	108	0	0	0.0	79.0	0.0	False
8	112	142	149	0.0	81.36363636363636	80.56667698138483	False
8	116	73	56	0.0	87.54545454545455	87.46117074396084	False
8	120	43	158	0.0	86.33333333333333	1.443233954315743	False
8	124	69	46	0.0	86.36363636363636	86.24693694361194	False
8	128	70	46	0.0	85.27272727272727	85.14940785853064	False
8	132	43	158	0.0	85.33333333333333	1.443233954315743	False
8	136	71	56	0.0	86.0	85.922853158953	False
8	140	72	55	0.0	84.54545454545455	84.47786346218791	False
8	144	43	158	0.0	84.33333333333333	1.443233954315743	False
8	148	69	46	0.0	84.36363636363636	84.2472392980013	False
8	152	70	46	0.0	83.0909090909091	83.04301746882501	False
8	156	43	158	0.0	83.16666666666667	1.1977726831846442	False
8	160	75	56	0.0	82.81818181818181	82.66861315183539	False
8	164	77	56	0.0	80.36363636363636	80.27480875628281	False
8	168	0	0	0.0	79.0	0.0	False
8	172	0	0	0.0	79.0	79.0	False
8	176	0	0	0.0	79.0	79.0	False
8	180	0	0	0.0	79.0	0.0	False
8	184	0	0	0.0	79.0	79.0	False
8	188	0	0	0.0	79.0	79.0	False
8	192	0	0	0.0	79.0	0.0	False
8	196	0	0	0.0	79.0	79.0	False
12	0	0	0	0.0	79.0	79.0	False
12	4	0	0	0.0	79.0	0.0	False
12	8	0	0	0.0	79.0	79.0	False
12	12	0	0	0.0	79.0	79.0	False
12	16	0	0	0.0	79.0	0.0	False
12	20	0	0	0.0	79.0	79.0	False
12	24	0	0	0.0	79.0	79.0	False
12	28	0	0	0.0	79.0	0.0	False
12	32	142	149	0.0	77.54545454545455	77.38913844569022	False
12	36	146	149	0.0	79.0909090909091	79.02986715540095	False
12	40	142	149	0.0	82.25	1.3297724247999299	False
12	44	142	149	0.0	83.54545454545455	83.38816235428025	False
12	48	70	46	0.0	84.36363636363636	84.21833254637491	False
12	52	70	46	0.0	84.5	1.589264454616886	False
12	56	139	150	0.0	85.18181818181819	85.02176181771716	False
12	60	135	151	0.0	86.45454545454545	86.29997501432481	False
12	64	70	43	0.0	86.33333333333333	1.5222096569911012	False
12	68	139	150	0.0	87.72727272727273	87.5739055604953	False
12	72	71	53	0.0	87.63636363636364	87.55250804664328	False
12	76	43	158	0.0	86.25	1.3817720668197078	False
12	80	43	155	0.0	77.0	76.77940069587251	False
12	84	144	149	0.0	75.63636363636364	75.49882990756574	False
12	88	46	168	0.0	76.16666666666667	13.688987570070772	False
12	92	43	153	0.0	62.90909090909091	81.46061841720271	False
12	96	146	149	0.0	77.54545454545455	77.23040484903868	False
12	100	139	150	0.0	74.5	11.817898399690696	False
12	104	0	0	0.0	79.0	79.0	False
12	108	0	0	0.0	79.0	79.0	False
12	112	142	149	0.0	82.5	10.568013156400724	False
12	116	71	55	0.0	89.18181818181819	89.0499152536289	False
12	120	70	46	0.0	88.27272727272727	88.14904757731352	False
12	124	43	158	0.0	88.33333333333333	1.443233954315743	False
12	128	69	45	0.0	87.27272727272727	87.1800106727272	False
12	132	70	46	0.0	87.0909090909091	87.04278236315952	False
