Range_index_row	Range_index_col	Domain_index_row	Domain_index_col	contrast	brightness	best_rms	isEdge
0	0	91	81	-0.00036843014418785506	160.4170140196024	277.4427009655967	False
0	4	30	8	-0.0006080518913165096	158.08058162404444	5.972558672647128	False
0	8	114	78	-0.00028039068620811663	155.6240448018091	269.31162495609095	False
0	12	97	87	-0.00010818013606017627	155.799420219723	269.2268769917244	False
0	16	29	8	0.0009704181915897115	168.13276187650493	12.015460368976186	False
0	20	97	80	-0.001165252288384294	168.95244706699214	291.54073892903665	False
0	24	120	55	0.0062675455080907225	124.56176910960556	212.60820155777952	True
0	28	29	8	0.0005919631266951836	95.48461643361509	11.9853796148406	False
0	32	26	9	0.00013189959133137776	105.31916238289041	182.07397273912719	False
0	36	90	82	-0.00031724466640158127	106.63363016079549	184.3134717686986	False
0	40	114	78	-0.0003407325500660075	106.42674773391548	5.157984116729756	False
0	44	29	8	0.0007908164319846478	112.0946943335563	193.35808258457732	False
0	48	29	8	0.0002972003931038192	122.52134941961205	211.8027128882508	False
0	52	29	8	0.0002887375884290224	127.99462415948535	8.495289824272959	False
0	56	29	8	0.00021245099126352736	130.22171003850997	225.22035982645528	False
0	60	87	86	0.00011741814369172434	129.88987901302	224.8928536906588	False
0	64	29	8	0.00016608513689072866	131.2628865139025	3.9859254989662385	False
0	68	26	9	0.00018903804666532356	132.8375217978565	229.85512651854947	False
0	72	97	87	-1.0514954827280352e-05	133.54582065830172	231.23959457632665	False
0	76	114	78	-0.00027874086700364144	132.93437824671864	2.954402942890402	False
0	80	93	79	-0.00011402933730698547	133.13520032602912	230.47340376292877	False
0	84	90	82	-0.00027775766531462387	134.01900296098435	231.8521618036095	False
0	88	88	83	3.0197920602939437e-05	133.41911779751177	4.610254644044689	False
0	92	97	80	-0.0003667387097574026	130.70493863308124	225.9796014800847	False
0	96	97	78	-6.41125192696405e-05	132.09307296502735	228.63309388730661	False
0	100	29	8	0.00017749421258722708	131.52698694876963	6.7722098937304365	False
0	104	90	82	-0.0003127068458392684	132.629866009215	229.38314732130172	False
0	108	29	8	0.00014320458162615316	133.23532617079275	230.52725245792124	False
0	112	92	83	-6.337268163574083e-05	130.15329833296008	4.536241911505246	False
0	116	90	82	-0.00015315365079616753	129.20636641995335	223.577121361447	False
0	120	90	82	-1.66760411313079e-05	128.49202013564036	222.39154956297253	False
0	124	29	8	-0.00018008961308101074	128.84722581170345	3.084505252505764	False
4	0	97	80	-0.00019254859149600654	156.35191324079392	270.56417111366	False
4	4	88	85	1.5070500084761593e-05	156.17357430994247	270.37173879276384	False
4	8	29	8	-0.0003721701770629897	154.94175111589843	4.171719815695832	False
4	12	29	8	0.001327632930200784	158.55774045045948	274.1289672824058	False
4	16	97	87	-0.00019004982314567903	168.27515821096165	290.9250504227424	False
4	20	30	8	-0.001975517998313833	162.9239915705301	18.93635530241499	False
4	24	114	70	0.005894152086411522	124.34112092335411	212.23771504672982	True
4	28	31	7	0.00015192064322204615	92.41862219243521	159.2417253100495	False
4	32	30	8	0.0007699814760193865	103.17104575894679	7.730444122230391	False
4	36	97	80	-0.00017399387662485934	105.53394724312876	182.5672509070085	False
4	40	93	83	-0.0002489752445519584	103.43594029454242	178.95717979282844	False
4	44	29	8	0.0009189010851124461	111.89532936879152	10.28513337946528	False
4	48	29	8	0.0005292095227890375	121.0438591946914	209.1232318899165	False
4	52	31	7	0.00010870663155915062	126.31293148782389	218.48882007068983	False
4	56	29	8	0.00016185422461747	128.39390099613863	2.3492986796393347	False
4	60	29	8	6.737197970180455e-05	131.08898956611023	226.96220500849574	False
4	64	100	85	0.00011821993011114009	130.29028300199022	225.60377411957728	False
4	68	29	8	3.8287527477934596e-05	131.68710698042332	2.8710754980637474	False
4	72	29	8	0.00022620301006532576	132.9547557661034	230.0998924892179	False
4	76	87	86	-3.2797273615281485e-05	131.91781613224416	228.36077261083256	False
4	80	30	8	-0.0003785086462489622	132.57944224690345	3.4334337331764506	False
4	84	96	81	-4.175801707291312e-05	131.36972397806883	227.3767599077298	False
4	88	100	85	0.0003361927288014517	131.3097094607956	227.30392074428698	False
4	92	44	8	-0.0001807797505712563	130.40209494027903	5.382246331848448	False
4	96	26	9	0.00036130402022375237	130.2072825250865	225.27797279439838	False
4	100	29	8	0.0003328305625857807	130.11446690082465	225.11434082444086	False
4	104	44	8	-0.00015976404103125048	132.35160759399707	6.1920344123282876	False
4	108	96	81	-5.773456201790382e-05	130.8026327946788	226.23256650163535	False
4	112	88	85	-1.8523833025259594e-05	130.1507740754107	225.28306070516595	False
4	116	30	8	6.94273817564281e-05	128.35568160819045	1.3598675000282494	False
4	120	29	8	0.00014337484373930714	127.54885861260375	220.831580642418	False
4	124	67	57	2.977305830237171e-05	128.41810550480326	222.3594636911378	False
8	0	30	8	0.0002399769031762997	156.17223958845815	2.8297715546786995	False
