Range_index_row	Range_index_col	Domain_index_row	Domain_index_col	contrast	brightness	best_rms	isEdge
0	0	3	8	0.07534662955180775	30.273290882237312	40.42408883940134	False
0	4	3	2	0.040798035419579014	27.65042560623452	19.11503570974525	False
0	8	0	3	0.07215836117184564	29.37988900327109	39.736751551939314	False
0	12	3	8	0.07454954082632198	29.360962360302718	39.51419675809961	False
4	0	3	2	0.041424004073848074	27.362749481777566	19.29026094579162	False
4	4	0	3	0.07184489743856876	29.57509126490129	39.76728994210419	False
4	8	3	8	0.07306088580881054	29.209985461729318	39.08172779806	False
4	12	8	8	0.04257074873248525	27.9044951735595	19.64730656497842	False
8	0	0	3	0.07128380251822518	29.541266940074614	39.59159202330498	False
8	4	3	8	0.0754231071548313	29.846178878692832	40.07833566467459	False
8	8	3	2	0.040955603601424764	27.428989143672823	19.017703959059503	False
8	12	0	3	0.0746712586473817	31.128149625978562	41.57639257343619	False
12	0	3	8	0.07529705762211263	29.840822495256464	40.04350530623284	False
12	4	3	2	0.04233854953814705	28.02579942286499	19.626156178997444	False
12	8	0	3	0.07390018422017539	31.055766100960053	41.32714883742099	False
12	12	3	8	0.07935508173213995	31.599319363847528	42.34249804767065	False
